Tasks 	 Inter 	 Assis 	 Goal 	 Home 	 InitM

t0		 j		 tel		 1		 2		 3
t0		 j		 tel		 1		 1		 1
t0		 h		 tel		 1		 2		 2
t0		 h		 tel		 1		 1		 2
t0		 j		 blend		 1		 1		 2
t0		 h		 blend		 1		 1		 3
t0		 j		 but		 1		 2		 4
t0		 j		 but		 1		 2		 3
t0		 j		 but		 2		 1		 1
t0		 j		 but		 1		 2		 2
t0		 h		 but		 2		 1		 2
t0		 h		 but		 1		 1		 2
t0		 h		 but		 2		 1		 3
t0		 h		 but		 2		 2		 4
################################
################################
r		 j		 on		 2		 1		 2
r		 j		 on		 5		 3		 4
r		 j		 wo		 1		 1		 4
r		 j		 on		 2		 3		 0
r		 j		 wo		 1		 3		 2
r		 j		 on		 3		 2		 1
r		 j		 wo		 1		 2		 4
r		 j		 on		 4		 1		 1
r		 h		 on		 1		 2		 3
r		 h		 on		 4		 1		 6
r		 h		 wo		 1		 3		 4
r		 h		 wo		 4		 1		 2
r		 h		 wo		 2		 2		 6
r		 h		 on		 2		 3		 5
r		 h		 on		 1		 2		 1
r		 h		 on		 1		 2		 6
################################
################################
p		 j		 wo		 1		 1		 1
p		 j		 on		 1		 3		 1
p		 j		 wo		 2		 2		 3
p		 j		 on		 1		 1		 0
p		 j		 on		 1		 3		 4
p		 j		 on		 2		 1		 1
p		 j		 on		 2		 3		 2
p		 j		 wo		 4		 3		 4
p		 h		 on		 3		 3		 0
p		 h		 on		 4		 1		 5
p		 h		 wo		 1		 3		 1
p		 h		 on		 3		 3		 2
p		 h		 on		 1		 1		 2
p		 h		 wo		 4		 1		 6
p		 h		 on		 1		 3		 6
p		 h		 wo		 3		 1		 5
