Tasks 	 Inter 	 Assis 	 Goal 	 Home 	 InitM
p		 h		 pot		 1		 3		 0
p		 h		 pot		 2		 2		 2
p		 h		 pot		 3		 2		 3
p		 h		 pot		 3		 3		 2
p		 h		 kld		 2		 2		 5
p		 h		 kld		 1		 3		 3
p		 h		 kld		 3		 2		 2
p		 h		 kld		 2		 1		 1
p		 j		 pot		 1		 3		 3
p		 j		 pot		 3		 3		 3
p		 j		 pot		 3		 2		 2
p		 j		 pot		 4		 3		 2
p		 j		 kld		 3		 3		 2
p		 j		 kld		 3		 1		 2
p		 j		 kld		 3		 1		 0
p		 j		 kld		 1		 3		 3
################################
################################
r		 j		 pot		 4		 1		 2
r		 j		 pot		 4		 1		 3
r		 j		 pot		 2		 1		 0
r		 j		 pot		 5		 1		 2
r		 j		 kld		 5		 2		 3
r		 j		 kld		 1		 2		 0
r		 j		 kld		 4		 3		 1
r		 j		 kld		 5		 2		 3
r		 h		 pot		 4		 1		 2
r		 h		 pot		 3		 2		 3
r		 h		 pot		 4		 2		 0
r		 h		 pot		 1		 3		 5
r		 h		 kld		 3		 2		 5
r		 h		 kld		 2		 3		 3
r		 h		 kld		 2		 3		 1
r		 h		 kld		 5		 3		 3
